ymin,ymax,xmin,xmax,group
5986.23099,6029.2974,0,1,original
6029.2974,6072.36381,0,1,original
6072.36381,6115.43022,0,1,original
6115.43022,6158.49663,0,1,original
6158.49663,6201.56304,0,1,original
6201.56304,6244.62945,0,1,original
6244.62945,6287.69586,0,1,original
6287.69586,6330.76227,0,1,original
6330.76227,6373.82868,0,1,original
6373.82868,6416.89509,0,1,original
6416.89509,6459.9615,0,1,original
6459.9615,6503.02791,0,1,original
6503.02791,6546.09432,0,1,original
6546.09432,6589.16073,0,1,original
6589.16073,6632.22714,0,1,original
6632.22714,6675.29355,0,1,original
6675.29355,6718.35996,0,1,original
6718.35996,6761.42637,0,1,original
6761.42637,6804.49278,0,1,original
6804.49278,6847.55919,0,1,original
6847.55919,6890.6256,0,1,original
6890.6256,6933.69201,0,1,original
6933.69201,6976.75842,0,1,original
6976.75842,7019.82483,0,1,original
7019.82483,7062.89124,0,1,original
7062.89124,7105.95765,0,1,original
7105.95765,7149.02406,0,1,original
7149.02406,7192.09047,0,1,original
7192.09047,7235.15688,0,1,original
7235.15688,7278.22329,0,1,original
7278.22329,7321.2897,0,1,original
7321.2897,7364.35611,0,1,original
7364.35611,7407.42252,0,1,original
7407.42252,7450.48893,0,1,original
7450.48893,7493.55534,0,1,original
7493.55534,7536.62175,0,1,original
7536.62175,7579.68816,0,1,original
7579.68816,7622.75457,0,1,original
7622.75457,7665.82098,0,1,original
7665.82098,7708.88739,0,1,original
7708.88739,7751.9538,0,1,original
7751.9538,7795.02021,0,1,original
7795.02021,7838.08662,0,1,original
7838.08662,7881.15303,0,1,original
7881.15303,7924.21944,0,1,original
7924.21944,7967.28585,0,1,original
7967.28585,8010.35226,0,1,original
8010.35226,8053.41867,0,1,original
8053.41867,8096.48508,0,1,original
8096.48508,8139.55149,0,1,original
8139.55149,8182.6179,0,1,original
8182.6179,8225.68431,0,1,original
8225.68431,8268.75072,0,1,original
8268.75072,8311.81713,0,1,original
8311.81713,8354.88354,0,1,original
8354.88354,8397.94995,0,1,original
8397.94995,8441.01636,0,1,original
8441.01636,8484.08277,0,1,original
8484.08277,8527.14918,0,1,original
8527.14918,8570.21559,0,1,original
8570.21559,8613.282,0,1,original
8613.282,8656.34841,0,1,original
8656.34841,8699.41482,0,1,original
8699.41482,8742.48123,0,1,original
8742.48123,8785.54764,0,1,original
8785.54764,8828.61405,0,1,original
8828.61405,8871.68046,0,1,original
8871.68046,8914.74687,0,1,original
8914.74687,8957.81328,0,1,original
8957.81328,9000.87969,0,1,original
9000.87969,9043.9461,0,1,original
9043.9461,9087.01251,0,1,original
9087.01251,9130.07892,0,1,original
9130.07892,9173.14533,0,1,original
9173.14533,9216.21174,0,1,original
9216.21174,9259.27815,0,1,original
9259.27815,9302.34456,0,1,original
9302.34456,9345.41097,0,1,original
9345.41097,9388.47738,0,1,original
9388.47738,9431.54379,0,1,original
9431.54379,9474.6102,0,1,original
9474.6102,9517.67661,0,1,original
9517.67661,9560.74302,0,1,original
9560.74302,9603.80943,0,1,original
9603.80943,9646.87584,0,1,original
9646.87584,9689.94225,0,1,original
9689.94225,9733.00866,0,1,original
9733.00866,9776.07507,0,1,original
9776.07507,9819.14148,0,1,original
9819.14148,9862.20789,0,1,original
9862.20789,9905.2743,0,1,original
9905.2743,9948.34071,0,1,original
9948.34071,9991.40712,0,1,original
9991.40712,10034.47353,0,1,original
10034.47353,10077.53994,0,1,original
10077.53994,10120.60635,0,1,original
10120.60635,10163.67276,0,1,original
10163.67276,10206.73917,0,1,original
10206.73917,10249.80558,0,1,original
10249.80558,10292.87199,0,1,original
10292.87199,10335.9384,0,1,original
10335.9384,10379.00481,0,1,original
10379.00481,10422.07122,0,1,original
10422.07122,10465.13763,0,1,original
10465.13763,10508.20404,0,1,original
10508.20404,10551.27045,0,1,original
10551.27045,10594.33686,0,1,original
10594.33686,10637.40327,0,1,original
10637.40327,10680.46968,0,1,original
10680.46968,10723.53609,0,1,original
10723.53609,10766.6025,0,1,original
10766.6025,10809.66891,0,1,original
10809.66891,10852.73532,0,1,original
10852.73532,10895.80173,0,1,original
10895.80173,10938.86814,0,1,original
10938.86814,10981.93455,0,1,original
10981.93455,11025.00096,0,1,original
