SurveyIDR12,SiteID,Mean20m,Mean40m,Detected20,Detected40,NMPresent,TotalMiner20,TotalMiner40,MeanMiner20m,MeanMiner40m,Threshold20m,Threshold40m,NumberOFRepeats
BS8_SpringE_2020,BS8,45.5,62.5,25,26,1,1,1,0.5,0.5,0,0,2
BS8_SpringL_2019,BS8,52.5,72.5,24,28,1,3,3,1.5,1.5,0,0,2
BS8_SpringL_2020,BS8,48.5,65,26,26,1,8,16,4,8,1,1,2
BS8_SpringL_2021,BS8,54,90.5,24,26,1,14,36,7,18,1,1,2
BS8_Summer_2019,BS8,21,35,15,18,1,11,18,5.5,9,1,1,2
BS8_Summer_2020,BS8,29,39.5,15,21,1,15,15,7.5,7.5,1,1,2
BS8_Summer_2021,BS8,36.5,53,16,23,1,4,6,2,3,0,0,2
BS8_Winter_2019,BS8,45.5,107.5,24,27,1,12,37,6,18.5,1,1,2
BS8_Winter_2020,BS8,50.5,66.5,24,25,1,1,1,0.5,0.5,0,0,2
BS9_Autumn_2021,BS9,70.5,90,24,32,1,10,10,5,5,1,0,2
BS9_SpringE_2020,BS9,50,76,27,32,0,0,0,0,0,0,0,2
BS9_SpringL_2019,BS9,77.5,108,30,30,1,3,5,1.5,2.5,0,0,2
BS9_SpringL_2020,BS9,57,86.5,28,34,0,0,0,0,0,0,0,2
BS9_SpringL_2021,BS9,63,111.5,34,44,0,0,0,0,0,0,0,2
BS9_Summer_2019,BS9,32.5,74.5,18,28,1,0,8,0,4,0,0,2
BS9_Summer_2020,BS9,42.5,60.5,24,34,1,0,5,0,2.5,0,0,2
BS9_Summer_2021,BS9,35.5,46.5,25,28,0,0,0,0,0,0,0,2
BS9_Winter_2019,BS9,77.5,192,35,40,1,10,40,5,20,1,1,2
BS9_Winter_2020,BS9,51.5,83.5,29,34,1,2,3,1,1.5,0,0,2
G1_Autumn_2021,G1,54,62.5,25,28,0,0,0,0,0,0,0,2
G1_SpringE_2020,G1,49.5,56,23,28,0,0,0,0,0,0,0,2
G1_SpringL_2019,G1,82.5,116.5,27,31,1,0,2,0,1,0,0,2
G1_SpringL_2020,G1,30,33.5,13,16,0,0,0,0,0,0,0,2
G1_SpringL_2021,G1,22.5,36,24,32,0,0,0,0,0,0,0,2
G1_Summer_2019,G1,30,56,19,28,1,0,3,0,1.5,0,0,2
G1_Summer_2020,G1,49,67,26,32,1,6,13,3,6.5,1,0,2
G1_Summer_2021,G1,24.5,38,20,25,0,0,0,0,0,0,0,2
G1_Winter_2019,G1,34.5,81,23,26,1,3,7,1.5,3.5,0,0,2
G1_Winter_2020,G1,65,92,24,31,0,0,0,0,0,0,0,2
G2_Autumn_2021,G2,55.5,58.5,19,21,0,0,0,0,0,0,0,2
G2_SpringE_2020,G2,40.5,47.5,21,23,0,0,0,0,0,0,0,2
G2_SpringL_2019,G2,54,99.5,25,31,1,0,2,0,1,0,0,2
G2_SpringL_2020,G2,21,23,14,14,0,0,0,0,0,0,0,2
G2_SpringL_2021,G2,21,28.5,14,21,0,0,0,0,0,0,0,2
G2_Summer_2019,G2,17,34,9,14,0,0,0,0,0,0,0,2
G2_Summer_2020,G2,48,72.5,20,25,0,0,0,0,0,0,0,2
G2_Summer_2021,G2,17,26.5,15,19,0,0,0,0,0,0,0,2
G2_Winter_2019,G2,32,78.5,22,29,0,0,0,0,0,0,0,2
G2_Winter_2020,G2,41,59,17,20,0,0,0,0,0,0,0,2
G3_Autumn_2021,G3,72.5,104.5,25,28,0,0,0,0,0,0,0,2
G3_SpringE_2020,G3,37,51.5,22,26,0,0,0,0,0,0,0,2
G3_SpringL_2019,G3,37.5,57,26,28,0,0,0,0,0,0,0,2
G3_SpringL_2020,G3,18,24.5,8,12,0,0,0,0,0,0,0,2
G3_SpringL_2021,G3,33.5,43,28,33,0,0,0,0,0,0,0,2
G3_Summer_2019,G3,21,51.5,16,27,1,2,3,1,1.5,0,0,2
G3_Summer_2020,G3,38,42,20,22,0,0,0,0,0,0,0,2
G3_Summer_2021,G3,15,30.5,13,21,0,0,0,0,0,0,0,2
G3_Winter_2019,G3,27.5,62,25,26,1,1,5,0.5,2.5,0,0,2
G3_Winter_2020,G3,65,75.5,19,20,1,4,4,2,2,0,0,2
G4_Autumn_2021,G4,43,53.5,19,23,0,0,0,0,0,0,0,2
G4_SpringE_2020,G4,41,50,26,27,0,0,0,0,0,0,0,2
G4_SpringL_2019,G4,37,65,22,30,0,0,0,0,0,0,0,2
G4_SpringL_2020,G4,14,22.5,15,19,0,0,0,0,0,0,0,2
G4_SpringL_2021,G4,23.5,28,21,24,0,0,0,0,0,0,0,2
G4_Summer_2019,G4,22.5,60.5,12,25,0,0,0,0,0,0,0,2
G4_Summer_2020,G4,32.5,47,16,20,0,0,0,0,0,0,0,2
G4_Summer_2021,G4,17.5,28.5,13,23,0,0,0,0,0,0,0,2
G4_Winter_2019,G4,34.5,99.5,20,31,0,0,0,0,0,0,0,2
G4_Winter_2020,G4,40.5,62.5,16,22,1,0,2,0,1,0,0,2
GP1_Autumn_2021,GP1,84,123,32,40,1,2,2,1,1,0,0,2
GP1_SpringE_2020,GP1,38,64.5,21,24,1,3,3,1.5,1.5,0,0,2
GP1_SpringL_2019,GP1,32.5,59,22,26,1,3,6,1.5,3,0,0,2
GP1_SpringL_2020,GP1,45.5,77,24,29,1,3,3,1.5,1.5,0,0,2
GP1_SpringL_2021,GP1,83.5,207.5,37,47,0,0,0,0,0,0,0,2
GP1_Summer_2019,GP1,39.5,80,23,31,0,0,0,0,0,0,0,2
GP1_Summer_2020,GP1,47.5,78.5,25,30,1,3,3,1.5,1.5,0,0,2
GP1_Summer_2021,GP1,53.5,79.5,23,26,0,0,0,0,0,0,0,2
GP1_Winter_2019,GP1,35.5,88.5,21,25,1,0,3,0,1.5,0,0,2
GP1_Winter_2020,GP1,38.5,61.5,22,25,1,3,3,1.5,1.5,0,0,2
GP1_Winter_2021,GP1,62,83.5,22,28,1,0,1,0,0.5,0,0,2
GP2_Autumn_2021,GP2,59,83.5,27,32,0,0,0,0,0,0,0,2
GP2_SpringE_2020,GP2,44.5,63,21,22,1,8,9,4,4.5,1,0,2
GP2_SpringL_2019,GP2,52,86,27,35,1,2,6,1,3,0,0,2
GP2_SpringL_2020,GP2,53,88,23,26,1,7,12,3.5,6,1,0,2
GP2_SpringL_2021,GP2,45,80,31,43,0,0,0,0,0,0,0,2
GP2_Summer_2019,GP2,39,69,20,30,1,0,2,0,1,0,0,2
GP2_Summer_2020,GP2,49,85.5,24,25,1,3,6,1.5,3,0,0,2
GP2_Summer_2021,GP2,39,58.5,29,39,0,0,0,0,0,0,0,2
GP2_Winter_2019,GP2,50.5,102.5,21,26,1,0,4,0,2,0,0,2
GP2_Winter_2020,GP2,38.5,59,22,23,1,5,6,2.5,3,1,0,2
GP2_Winter_2021,GP2,84.5,102.5,25,28,1,3,14,1.5,7,0,1,2
GP3_Autumn_2021,GP3,46.5,63.5,21,23,0,0,0,0,0,0,0,2
GP3_SpringE_2020,GP3,27.5,46.5,17,20,1,6,8,3,4,1,0,2
GP3_SpringL_2019,GP3,30.5,53,20,29,1,2,3,1,1.5,0,0,2
GP3_SpringL_2020,GP3,46,74,21,24,1,11,13,5.5,6.5,1,0,2
