SurveyIDR12,SiteID,Total20,Total40,Detected20,Detected40,NMPresent,TotalMiner20,TotalMiner40,DetectedMiner20,DetectedMiner40,Threshold20m,Threshold40m
GP1_Summer_2020,GP1,41,77,15,21,0,0,0,0,0,0,0
GP1_Summer_2021,GP1,82,105,18,20,0,0,0,0,0,0,0
GP1_Winter_2019,GP1,42,117,17,20,0,0,0,0,0,0,0
GP1_Winter_2020,GP1,36,70,15,22,0,0,0,0,0,0,0
GP1_Winter_2021,GP1,46,57,12,13,0,0,0,0,0,0,0
GP2_Autumn_2021,GP2,92,100,26,27,0,0,0,0,0,0,0
GP2_SpringE_2020,GP2,46,62,17,17,1,5,5,1,1,1,1
GP2_SpringL_2019,GP2,62,94,22,24,1,2,6,1,1,1,1
GP2_SpringL_2020,GP2,56,88,19,20,1,4,8,1,1,1,1
GP2_SpringL_2021,GP2,43,86,21,29,0,0,0,0,0,0,0
GP2_Summer_2019,GP2,40,75,13,21,0,0,0,0,0,0,0
GP2_Summer_2020,GP2,45,77,18,19,0,0,0,0,0,0,0
GP2_Summer_2021,GP2,37,49,18,22,0,0,0,0,0,0,0
GP2_Winter_2019,GP2,51,103,15,18,0,0,0,0,0,0,0
GP2_Winter_2020,GP2,32,44,15,17,1,2,2,1,1,1,0
GP2_Winter_2021,GP2,55,60,13,13,0,0,0,0,0,0,0
GP3_Autumn_2021,GP3,36,55,12,16,0,0,0,0,0,0,0
GP3_SpringE_2020,GP3,30,51,9,14,1,6,8,1,1,1,1
GP3_SpringL_2019,GP3,29,56,16,22,1,2,2,1,1,1,0
GP3_SpringL_2020,GP3,59,95,16,19,1,8,8,1,1,1,1
GP3_SpringL_2021,GP3,29,98,13,26,0,0,0,0,0,0,0
GP3_Summer_2019,GP3,31,59,8,18,0,0,0,0,0,0,0
GP3_Summer_2020,GP3,54,77,15,18,1,8,8,1,1,1,1
GP3_Summer_2021,GP3,38,57,17,19,0,0,0,0,0,0,0
GP3_Winter_2019,GP3,45,66,12,13,0,0,0,0,0,0,0
GP3_Winter_2020,GP3,21,39,7,14,1,8,8,1,1,1,1
GP3_Winter_2021,GP3,41,52,12,15,1,1,2,1,1,0,0
GP4_Autumn_2021,GP4,41,54,15,18,0,0,0,0,0,0,0
GP4_SpringE_2020,GP4,51,64,14,15,1,1,1,1,1,0,0
GP4_SpringL_2019,GP4,72,82,21,23,1,2,2,1,1,1,0
